Stops,Stints,Compounds,TotalTime_s
1,"(16, 40)","('Soft', 'Hard')",5001.170702382491
1,"(40, 16)","('Hard', 'Soft')",5001.170702382491
1,"(17, 39)","('Soft', 'Hard')",5001.639893125321
1,"(39, 17)","('Hard', 'Soft')",5001.639893125321
1,"(38, 18)","('Hard', 'Soft')",5002.24488733018
1,"(18, 38)","('Soft', 'Hard')",5002.24488733018
1,"(19, 37)","('Soft', 'Hard')",5002.9856849970665
1,"(37, 19)","('Hard', 'Soft')",5002.9856849970665
1,"(36, 20)","('Hard', 'Soft')",5003.862286125983
1,"(20, 36)","('Soft', 'Hard')",5003.862286125983
1,"(21, 35)","('Soft', 'Hard')",5004.874690716926
1,"(35, 21)","('Hard', 'Soft')",5004.874690716926
1,"(34, 22)","('Hard', 'Soft')",5006.022898769899
1,"(22, 34)","('Soft', 'Hard')",5006.022898769899
2,"(6, 25, 25)","('Soft', 'Hard', 'Hard')",5007.724863298583
2,"(25, 6, 25)","('Hard', 'Soft', 'Hard')",5007.724863298583
2,"(25, 25, 6)","('Hard', 'Hard', 'Soft')",5007.724863298583
2,"(25, 26, 5)","('Hard', 'Hard', 'Soft')",5007.739386021377
2,"(25, 5, 26)","('Hard', 'Soft', 'Hard')",5007.739386021377
2,"(5, 25, 26)","('Soft', 'Hard', 'Hard')",5007.739386021377
2,"(5, 26, 25)","('Soft', 'Hard', 'Hard')",5007.739386021377
2,"(26, 5, 25)","('Hard', 'Soft', 'Hard')",5007.739386021377
2,"(26, 25, 5)","('Hard', 'Hard', 'Soft')",5007.739386021377
2,"(24, 26, 6)","('Hard', 'Hard', 'Soft')",5007.751182843041
2,"(6, 24, 26)","('Soft', 'Hard', 'Hard')",5007.751182843041
2,"(24, 6, 26)","('Hard', 'Soft', 'Hard')",5007.751182843041
2,"(26, 24, 6)","('Hard', 'Hard', 'Soft')",5007.751182843041
2,"(6, 26, 24)","('Soft', 'Hard', 'Hard')",5007.751182843041
2,"(26, 6, 24)","('Hard', 'Soft', 'Hard')",5007.751182843041
2,"(7, 25, 24)","('Soft', 'Hard', 'Hard')",5007.787454703612
2,"(24, 25, 7)","('Hard', 'Hard', 'Soft')",5007.787454703612
2,"(25, 7, 24)","('Hard', 'Soft', 'Hard')",5007.787454703612
2,"(24, 7, 25)","('Hard', 'Soft', 'Hard')",5007.787454703612
2,"(25, 24, 7)","('Hard', 'Hard', 'Soft')",5007.787454703612
2,"(7, 24, 25)","('Soft', 'Hard', 'Hard')",5007.787454703612
2,"(24, 27, 5)","('Hard', 'Hard', 'Soft')",5007.792025110293
2,"(27, 5, 24)","('Hard', 'Soft', 'Hard')",5007.792025110293
2,"(27, 24, 5)","('Hard', 'Hard', 'Soft')",5007.792025110293
2,"(5, 27, 24)","('Soft', 'Hard', 'Hard')",5007.792025110293
2,"(5, 24, 27)","('Soft', 'Hard', 'Hard')",5007.792025110293
2,"(24, 5, 27)","('Hard', 'Soft', 'Hard')",5007.792025110293
2,"(4, 26, 26)","('Soft', 'Hard', 'Hard')",5007.804703327537
2,"(26, 26, 4)","('Hard', 'Hard', 'Soft')",5007.804703327537
2,"(26, 4, 26)","('Hard', 'Soft', 'Hard')",5007.804703327537
2,"(6, 27, 23)","('Soft', 'Hard', 'Hard')",5007.8301414764155
2,"(27, 6, 23)","('Hard', 'Soft', 'Hard')",5007.8301414764155
2,"(6, 23, 27)","('Soft', 'Hard', 'Hard')",5007.8301414764155
2,"(23, 27, 6)","('Hard', 'Hard', 'Soft')",5007.8301414764155
2,"(27, 23, 6)","('Hard', 'Hard', 'Soft')",5007.8301414764155
2,"(23, 6, 27)","('Hard', 'Soft', 'Hard')",5007.8301414764155
2,"(4, 25, 27)","('Soft', 'Hard', 'Hard')",5007.831022871996
2,"(25, 27, 4)","('Hard', 'Hard', 'Soft')",5007.831022871996
2,"(27, 4, 25)","('Hard', 'Soft', 'Hard')",5007.831022871996
2,"(25, 4, 27)","('Hard', 'Soft', 'Hard')",5007.831022871996
2,"(27, 25, 4)","('Hard', 'Hard', 'Soft')",5007.831022871996
2,"(4, 27, 25)","('Soft', 'Hard', 'Hard')",5007.831022871996
2,"(23, 26, 7)","('Hard', 'Hard', 'Soft')",5007.840093792529
2,"(7, 23, 26)","('Soft', 'Hard', 'Hard')",5007.840093792529
2,"(23, 7, 26)","('Hard', 'Soft', 'Hard')",5007.840093792529
2,"(26, 7, 23)","('Hard', 'Soft', 'Hard')",5007.840093792529
2,"(26, 23, 7)","('Hard', 'Hard', 'Soft')",5007.840093792529
2,"(7, 26, 23)","('Soft', 'Hard', 'Hard')",5007.840093792529
2,"(5, 23, 28)","('Soft', 'Hard', 'Hard')",5007.897303288128
2,"(5, 28, 23)","('Soft', 'Hard', 'Hard')",5007.897303288128
2,"(23, 28, 5)","('Hard', 'Hard', 'Soft')",5007.897303288128
2,"(23, 5, 28)","('Hard', 'Soft', 'Hard')",5007.897303288128
2,"(28, 23, 5)","('Hard', 'Hard', 'Soft')",5007.897303288128
2,"(28, 5, 23)","('Hard', 'Soft', 'Hard')",5007.897303288128
2,"(8, 24, 24)","('Soft', 'Hard', 'Hard')",5007.9008406920075
2,"(24, 8, 24)","('Hard', 'Soft', 'Hard')",5007.9008406920075
2,"(24, 24, 8)","('Hard', 'Hard', 'Soft')",5007.9008406920075
2,"(28, 24, 4)","('Hard', 'Hard', 'Soft')",5007.909981505371
2,"(4, 24, 28)","('Soft', 'Hard', 'Hard')",5007.909981505371
2,"(4, 28, 24)","('Soft', 'Hard', 'Hard')",5007.909981505371
2,"(24, 28, 4)","('Hard', 'Hard', 'Soft')",5007.909981505371
2,"(28, 4, 24)","('Hard', 'Soft', 'Hard')",5007.909981505371
2,"(24, 4, 28)","('Hard', 'Soft', 'Hard')",5007.909981505371
2,"(23, 8, 25)","('Hard', 'Soft', 'Hard')",5007.927160236466
2,"(25, 8, 23)","('Hard', 'Soft', 'Hard')",5007.927160236466
2,"(8, 23, 25)","('Soft', 'Hard', 'Hard')",5007.927160236466
2,"(25, 23, 8)","('Hard', 'Hard', 'Soft')",5007.927160236466
2,"(8, 25, 23)","('Soft', 'Hard', 'Hard')",5007.927160236466
2,"(23, 25, 8)","('Hard', 'Hard', 'Soft')",5007.927160236466
2,"(7, 22, 27)","('Soft', 'Hard', 'Hard')",5007.945371970362
2,"(22, 27, 7)","('Hard', 'Hard', 'Soft')",5007.945371970362
2,"(27, 7, 22)","('Hard', 'Soft', 'Hard')",5007.945371970362
2,"(27, 22, 7)","('Hard', 'Hard', 'Soft')",5007.945371970362
2,"(22, 7, 27)","('Hard', 'Soft', 'Hard')",5007.945371970362
2,"(7, 27, 22)","('Soft', 'Hard', 'Hard')",5007.945371970362
2,"(26, 27, 3)","('Hard', 'Hard', 'Soft')",5007.947134761522
2,"(27, 26, 3)","('Hard', 'Hard', 'Soft')",5007.947134761522
2,"(3, 26, 27)","('Soft', 'Hard', 'Hard')",5007.947134761522
2,"(27, 3, 26)","('Hard', 'Soft', 'Hard')",5007.947134761522
2,"(26, 3, 27)","('Hard', 'Soft', 'Hard')",5007.947134761522
2,"(3, 27, 26)","('Soft', 'Hard', 'Hard')",5007.947134761522
2,"(6, 22, 28)","('Soft', 'Hard', 'Hard')",5007.9617391987085
2,"(28, 22, 6)","('Hard', 'Hard', 'Soft')",5007.9617391987085
2,"(6, 28, 22)","('Soft', 'Hard', 'Hard')",5007.9617391987085
2,"(28, 6, 22)","('Hard', 'Soft', 'Hard')",5007.9617391987085
2,"(22, 6, 28)","('Hard', 'Soft', 'Hard')",5007.9617391987085
2,"(22, 28, 6)","('Hard', 'Hard', 'Soft')",5007.9617391987085
2,"(25, 28, 3)","('Hard', 'Hard', 'Soft')",5007.999773850439
2,"(3, 28, 25)","('Soft', 'Hard', 'Hard')",5007.999773850439
2,"(28, 25, 3)","('Hard', 'Hard', 'Soft')",5007.999773850439
2,"(25, 3, 28)","('Hard', 'Soft', 'Hard')",5007.999773850439
2,"(28, 3, 25)","('Hard', 'Soft', 'Hard')",5007.999773850439
2,"(3, 25, 28)","('Soft', 'Hard', 'Hard')",5007.999773850439
2,"(22, 26, 8)","('Hard', 'Hard', 'Soft')",5008.006118869842
2,"(8, 22, 26)","('Soft', 'Hard', 'Hard')",5008.006118869842
2,"(26, 22, 8)","('Hard', 'Hard', 'Soft')",5008.006118869842
2,"(8, 26, 22)","('Soft', 'Hard', 'Hard')",5008.006118869842
2,"(26, 8, 22)","('Hard', 'Soft', 'Hard')",5008.006118869842
2,"(22, 8, 26)","('Hard', 'Soft', 'Hard')",5008.006118869842
2,"(29, 23, 4)","('Hard', 'Hard', 'Soft')",5008.0415792276635
2,"(4, 23, 29)","('Soft', 'Hard', 'Hard')",5008.0415792276635
2,"(4, 29, 23)","('Soft', 'Hard', 'Hard')",5008.0415792276635
2,"(23, 4, 29)","('Hard', 'Soft', 'Hard')",5008.0415792276635
2,"(29, 4, 23)","('Hard', 'Soft', 'Hard')",5008.0415792276635
2,"(23, 29, 4)","('Hard', 'Hard', 'Soft')",5008.0415792276635
2,"(22, 5, 29)","('Hard', 'Soft', 'Hard')",5008.055220554878
2,"(22, 29, 5)","('Hard', 'Hard', 'Soft')",5008.055220554878
2,"(5, 29, 22)","('Soft', 'Hard', 'Hard')",5008.055220554878
2,"(29, 22, 5)","('Hard', 'Hard', 'Soft')",5008.055220554878
2,"(29, 5, 22)","('Hard', 'Soft', 'Hard')",5008.055220554878
2,"(5, 22, 29)","('Soft', 'Hard', 'Hard')",5008.055220554878
2,"(9, 23, 24)","('Soft', 'Hard', 'Hard')",5008.091340808228
2,"(24, 23, 9)","('Hard', 'Hard', 'Soft')",5008.091340808228
2,"(23, 9, 24)","('Hard', 'Soft', 'Hard')",5008.091340808228
2,"(9, 24, 23)","('Soft', 'Hard', 'Hard')",5008.091340808228
2,"(23, 24, 9)","('Hard', 'Hard', 'Soft')",5008.091340808228
2,"(24, 9, 23)","('Hard', 'Soft', 'Hard')",5008.091340808228
2,"(21, 7, 28)","('Hard', 'Soft', 'Hard')",5008.103289237114
2,"(28, 21, 7)","('Hard', 'Hard', 'Soft')",5008.103289237114
2,"(28, 7, 21)","('Hard', 'Soft', 'Hard')",5008.103289237114
2,"(21, 28, 7)","('Hard', 'Hard', 'Soft')",5008.103289237114
2,"(7, 21, 28)","('Soft', 'Hard', 'Hard')",5008.103289237114
2,"(7, 28, 21)","('Soft', 'Hard', 'Hard')",5008.103289237114
2,"(3, 24, 29)","('Soft', 'Hard', 'Hard')",5008.105052028272
2,"(29, 3, 24)","('Hard', 'Soft', 'Hard')",5008.105052028272
2,"(29, 24, 3)","('Hard', 'Hard', 'Soft')",5008.105052028272
2,"(3, 29, 24)","('Soft', 'Hard', 'Hard')",5008.105052028272
2,"(24, 3, 29)","('Hard', 'Soft', 'Hard')",5008.105052028272
2,"(24, 29, 3)","('Hard', 'Hard', 'Soft')",5008.105052028272
2,"(27, 21, 8)","('Hard', 'Hard', 'Soft')",5008.137716592134
2,"(21, 27, 8)","('Hard', 'Hard', 'Soft')",5008.137716592134
2,"(27, 8, 21)","('Hard', 'Soft', 'Hard')",5008.137716592134
2,"(21, 8, 27)","('Hard', 'Soft', 'Hard')",5008.137716592134
2,"(8, 27, 21)","('Soft', 'Hard', 'Hard')",5008.137716592134
2,"(8, 21, 27)","('Soft', 'Hard', 'Hard')",5008.137716592134
2,"(27, 27, 2)","('Hard', 'Hard', 'Soft')",5008.140360778872
2,"(27, 2, 27)","('Hard', 'Soft', 'Hard')",5008.140360778872
2,"(2, 27, 27)","('Soft', 'Hard', 'Hard')",5008.140360778872
2,"(25, 9, 22)","('Hard', 'Soft', 'Hard')",5008.143979897145
2,"(22, 25, 9)","('Hard', 'Hard', 'Soft')",5008.143979897145
2,"(9, 25, 22)","('Soft', 'Hard', 'Hard')",5008.143979897145
2,"(9, 22, 25)","('Soft', 'Hard', 'Hard')",5008.143979897145
2,"(25, 22, 9)","('Hard', 'Hard', 'Soft')",5008.143979897145
2,"(22, 9, 25)","('Hard', 'Soft', 'Hard')",5008.143979897145
2,"(21, 6, 29)","('Hard', 'Soft', 'Hard')",5008.145976009919
2,"(29, 6, 21)","('Hard', 'Soft', 'Hard')",5008.145976009919
2,"(21, 29, 6)","('Hard', 'Hard', 'Soft')",5008.145976009919
2,"(6, 29, 21)","('Soft', 'Hard', 'Hard')",5008.145976009919
2,"(29, 21, 6)","('Hard', 'Hard', 'Soft')",5008.145976009919
2,"(6, 21, 29)","('Soft', 'Hard', 'Hard')",5008.145976009919
2,"(28, 2, 26)","('Hard', 'Soft', 'Hard')",5008.166680323331
2,"(2, 28, 26)","('Soft', 'Hard', 'Hard')",5008.166680323331
2,"(2, 26, 28)","('Soft', 'Hard', 'Hard')",5008.166680323331
2,"(26, 28, 2)","('Hard', 'Hard', 'Soft')",5008.166680323331
2,"(28, 26, 2)","('Hard', 'Hard', 'Soft')",5008.166680323331
2,"(26, 2, 28)","('Hard', 'Soft', 'Hard')",5008.166680323331
2,"(22, 30, 4)","('Hard', 'Hard', 'Soft')",5008.225816038874
